# Format: IP:PORT|Negara|Provider|Emoji
36.95.152.58:12137|Indonesia|PT Telekomunikasi Indonesia|🇮🇩
43.218.77.16:443|Indonesia|Amazon.com, Inc.|🇮🇩
156.244.1.250:8443|Indonesia|Lightnode Limited|🇮🇩
147.139.189.225:443|Indonesia|Alibaba Cloud - ID|🇮🇩
103.6.207.108:8080|Indonesia|PT Pusat Media Indonesia|🇮🇩
138.2.89.238:43254|Singapore|Oracle Corporation|🇸🇬
138.2.74.219:28616|Singapore|Cloudflare London, LLC|🇸🇬
146.235.18.248:45137|Singapore|Oracle Corporation|🇸🇬
138.2.95.61:1111|Singapore|Oracle Corporation|🇸🇬
129.150.36.188:53435|Singapore|Oracle Corporation|🇸🇬
43.156.116.194:443|Singapore|6 COLLYER QUAY|🇸🇬
5.34.176.119:81|Singapore|Green Floid LLC|🇸🇬
146.235.19.79:28983|Singapore|Oracle Corporation|🇸🇬
194.36.179.17:2053|Singapore|FIRST SERVER, SOCIEDAD LIMITADA|🇸🇬
168.138.165.174:443|Singapore|Oracle Public Cloud|🇸🇬
104.248.145.216:443|Singapore|DigitalOcean, LLC|🇸🇬
129.226.150.167:443|Singapore|6 COLLYER QUAY|🇸🇬
124.156.202.172:443|Singapore|16 COLLYER QUAY|🇸🇬
143.42.66.91:443|Singapore|Viewqwest Pte Ltd|🇸🇬
167.99.73.22:443|Singapore|DigitalOcean, LLC|🇸🇬
164.52.2.98:443|Singapore|UCUL-SG|🇸🇬
164.52.2.100:443|Singapore|UCUL-SG|🇸🇬
168.138.171.70:23280|Singapore|Oracle Public Cloud|🇸🇬
164.52.2.99:443|Singapore|UCUL-SG|🇸🇬
167.71.198.82:8443|Singapore|DigitalOcean, LLC|🇸🇬
138.2.64.229:443|Singapore|Oracle Corporation|🇸🇬
129.150.35.29:587|Singapore|Oracle Corporation|🇸🇬
213.35.100.31:47112|Singapore|Oracle Svenska AB|🇸🇬
18.138.34.221:443|Singapore|Amazon.com, Inc.|🇸🇬
43.169.18.179:443|United States|ACE|🇺🇸
8.219.154.217:8443|Singapore|Alibaba Cloud (Singapore) Private Limited|🇸🇬
43.134.174.114:443|Singapore|6 COLLYER QUAY|🇸🇬
47.236.119.109:443|Singapore|Alibaba Cloud LLC|🇸🇬
194.233.67.84:443|Singapore|Contabo Asia Private Limited|🇸🇬
207.148.125.245:8443|Singapore|SGP_VULTR_CUST|🇸🇬
8.219.195.31:443|Japan|Alibaba Cloud (Singapore) Private Limited|🇯🇵
